ablation,mean_total_score,total_loss,crisis_score_loss,resolved_rate_loss,env_response_loss,social_response_loss,coupled_response_loss,damage_increase
body,0.47961339382699547,0.037373462987365824,0.0,0.0,0.0,0.0,0.0,-0.034478576705905706
infrastructure,0.35453037875528065,0.16245647805908064,0.0,0.0,0.0,0.0,0.0,0.042916797250381666
tools,0.5037511436879399,0.013235713126421356,0.0,0.0,0.0,0.0,0.0,0.01894014652650755
social_culture,0.25911990372637667,0.25786695308798463,0.0,0.0,0.05602836879432624,0.0,0.0,-0.23915961563605803
environment,0.52,-0.0030131431856387225,0.0,0.0,0.17755659792037157,-0.4786471782551391,0.0,-0.9689114639188976
previous_action,0.5145409137869413,0.002445943027419961,0.0,0.0,0.0,0.0,0.0,0.0649630574062372
