episode_id,agent,base_token,drifted_token,meaning,phoneme_shift,usage_count,semantic_grounding,novelty,stability,social_spread,drift_reason
149,Ari,keth,keth-la,remembered help,-la,22,0.923818,0.658788,0.866739,1.0,trust teaching
150,Fay,tek,tek-u,repair work,-u,21,0.87571,0.632724,0.865317,0.72,usage-frequency drift
151,Milo,sova,sova-s,sleep safely,-s,19,0.874825,0.59586,0.820021,0.72,usage-frequency drift
152,Sol,ori,ori-n,shared ritual,-n,17,0.864104,0.56031,0.87357,1.0,boundary-marked pronunciation
153,Ari,tek,tek-u,repair work,-u,22,0.865786,0.657636,0.861086,0.72,usage-frequency drift
154,Fay,sova,sova-s,sleep safely,-s,20,0.879183,0.613428,0.818173,0.72,usage-frequency drift
155,Milo,ori,ori-s,shared ritual,-s,18,0.874541,0.57966,0.872098,1.0,usage-frequency drift
156,Sol,vonn,vonn-s,pressure warning,-s,17,0.866033,0.559374,0.823885,0.516,usage-frequency drift
157,Ari,sova,sova-s,sleep safely,-s,21,0.869233,0.638484,0.81392,0.72,usage-frequency drift
158,Fay,ori,ori-s,shared ritual,-s,19,0.878931,0.597048,0.870277,1.0,usage-frequency drift
159,Milo,vonn,vonn-s,pressure warning,-s,18,0.87656,0.57822,0.822487,0.504,usage-frequency drift
160,Sol,melo,melo-s,market exchange,-s,18,0.859382,0.578544,0.870727,1.0,usage-frequency drift
161,Ari,ori,ori-n,shared ritual,-n,20,0.869014,0.621924,0.866051,1.0,boundary-marked pronunciation
162,Fay,vonn,vonn-s,pressure warning,-s,19,0.880925,0.595752,0.820645,0.492,usage-frequency drift
163,Milo,melo,melo-s,market exchange,-s,19,0.869796,0.59802,0.869237,1.0,usage-frequency drift
164,Sol,lum,lum-n,warm care,-n,20,0.854831,0.613608,0.865714,0.72,boundary-marked pronunciation
165,Ari,vonn,vonn-s,pressure warning,-s,20,0.870981,0.620772,0.816398,0.48,usage-frequency drift
166,Fay,melo,melo-s,market exchange,-s,20,0.874193,0.615372,0.867421,1.0,usage-frequency drift
167,Milo,lum,lum-n,warm care,-n,21,0.865336,0.63258,0.864298,0.72,boundary-marked pronunciation
168,Sol,nari,nari-n,respect boundary,-n,22,0.850111,0.649608,0.860562,1.0,boundary-marked pronunciation
