scenario,scenario_name,full_record_reward,model_only_reward,memory_transplant_reward,body_ablation_reward,social_ablation_reward,commitment_ablation_reward,tool_ablation_reward,fork_ablation_reward,full_gain_over_model_only,body_ablation_loss,social_ablation_loss,commitment_ablation_loss,tool_ablation_loss,fork_ablation_loss,supports_agent_continuity_precursor,verdict
0,clean_pause_resume,213.91389163822566,99.0224092717722,201.3469650490342,205.71445697443542,208.81605063119233,173.07132374022177,209.75379738723166,157.5406717217638,114.89148236645346,8.199434663790242,5.097841007033338,40.84256789800389,4.160094250994007,56.37321991646186,True,continuity_record_preserves_clean_resume
1,body_model_mismatch,214.06015980602493,6.76726532203094,109.29107577167322,113.62714678093279,209.11336548522806,173.07704027216278,209.57742786881082,157.67776760131665,207.292894483994,100.43301302509214,4.946794320796869,40.98311953386215,4.482731937214112,56.38239220470828,True,body_hidden_state_required_for_same_agent
2,social_repair_debt,214.05713244229176,12.758110079556813,153.91251472828324,158.42616354392746,170.27190184207157,173.0575400573369,209.74003165784146,157.6033248111147,201.29902236273495,55.6309688983643,43.78523060022019,40.999592384954866,4.317100784450304,56.45380763117706,True,social_continuity_preserves_repair_relationships
3,tool_commitment_return,214.05172269936185,39.235173960156274,141.7815034705109,160.96053160192324,208.9608482985691,173.13241361585972,194.799968775878,157.4831300088636,174.8165487392056,53.09119109743861,5.090874400792757,40.91930908350213,19.251753923483847,56.568592690498235,True,tools_and_commitments_bind_externalized_continuity
4,fork_rollback_boundary,213.99844058545372,-46.827182777444015,94.44424193212146,113.56413896911312,170.21970734293365,172.96782767722465,194.84453646098171,81.05228118795347,260.8256233628977,100.4343016163406,43.778733242520076,41.030612908229074,19.153904124472007,132.94615939750025,True,forks_are_new_continuities_after_shared_history
