architecture,condition,mean_long_horizon_score,mean_survival_score,mean_development_score,mean_culture_score,mean_inference_score,mean_response_score,mean_targeted_response_rate,mean_final_alive,mean_alive_at_12h,mean_architecture_delta,mean_tool_design_delta,mean_knowledge_transfer,mean_symbol_convergence,no_major_regime_before_12h_rate,hidden_regime_after_12h_rate
fixed_option_gru,none,0.7203643814935807,1.0,0.36125961695632686,0.992172338801476,0.2180319578653634,0.8058921790482764,0.5171594684385382,10.2,10.0,0.41105339755830794,0.41373407624258274,0.8712699456112734,1.0,1.0,1.0
option_frame,none,0.7531040793333814,1.0,0.4823252109548979,0.9785294234272561,0.2221444085043734,0.8379770916201059,0.5798986346734504,10.0,10.0,0.5538354253884621,0.42807489347451355,0.8148601350489475,1.0,1.0,1.0
return_selected_option_gru,body,0.552566641203034,1.0,0.21360225670006106,0.5993956923764163,0.2065019281296791,0.5831863808492854,0.22000000000000003,10.6,10.4,0.3888390595268101,0.0,0.35422479571308735,1.0,1.0,1.0
return_selected_option_gru,infrastructure,0.45581650052289413,1.0,0.20159999999999995,0.15164522328022148,0.2045537150620072,0.49504122204940854,0.2,10.0,10.0,0.0,0.0,0.0,0.40363642225905616,1.0,1.0
return_selected_option_gru,none,0.7655550543336412,1.0,0.5407746823991479,0.9772521223901279,0.21322191953312788,0.8386507468816655,0.6157112589307712,10.2,10.2,0.4474297067923404,0.8213639323490618,0.8328855995359425,1.0,1.0,1.0
return_selected_option_gru,regime_signal,0.6473468258323793,1.0,0.2956235095813847,1.0,0.20809410089821273,0.6573231873762071,0.1945952380952381,10.0,10.0,0.3501796092177471,0.3419634702121669,0.9518369241553233,1.0,1.0,1.0
return_selected_option_gru,social_culture,0.7674292561440323,1.0,0.5491618918580288,1.0,0.2200087227799076,0.8383603630734638,0.5671594524245638,10.2,10.0,0.44142657015456166,0.8237236694224144,1.0,1.0,1.0,1.0
scripted,reactive_survival_only,0.3356007291566125,1.0,0.0,0.050114631927537456,0.06650534166093373,0.3372160578421381,0.0,10.0,10.0,-0.15999999999999923,0.0,0.0,0.0,1.0,1.0
